Id,CLASSE
3158,Anormal
10789,Normal
10437,Normal
13409,Normal
11011,Normal
2923,Normal
5424,Normal
11514,Normal
13275,Normal
12608,Normal
10303,Anormal
1307,Normal
9120,Anormal
17754,Anormal
12723,Anormal
4665,
12858,Anormal
1476,Anormal
16782,Normal
8829,Anormal
3798,Anormal
791,Normal
7361,Normal
2173,Normal
2688,Normal
17464,Normal
15190,Anormal
9735,
11860,Anormal
3761,Normal
15374,Anormal
16450,Normal
16764,Anormal
14070,Normal
1885,Normal
13153,Normal
9795,Normal
775,Anormal
986,Anormal
14861,Normal
15425,Normal
8199,Anormal
3984,Normal
6584,Anormal
11073,Normal
3385,Normal
16758,Anormal
12622,Normal
10619,Normal
17365,Anormal
2077,Normal
15607,Anormal
7192,Anormal
6918,Anormal
495,Normal
11322,Normal
6119,Normal
832,
11115,Normal
2968,Normal
9852,Normal
5250,Normal
9021,Anormal
14969,Normal
15452,Normal
6405,Normal
428,
8067,Anormal
7811,Anormal
4112,Normal
11512,Normal
13685,
6339,Normal
10312,Anormal
14170,Anormal
17475,
1255,
13908,Normal
5195,
5954,
14491,Anormal
17285,Anormal
13565,Normal
1864,Anormal
17003,Normal
16800,Anormal
4393,Anormal
6949,Normal
8641,Anormal
14310,
2982,Normal
13721,Normal
14897,Anormal
2371,Normal
15231,Anormal
11733,Normal
2388,Normal
12710,Normal
8230,Normal
3409,Anormal
5220,Normal
15961,Anormal
6576,Anormal
3535,Normal
14746,Anormal
15973,Normal
13127,Anormal
3624,Anormal
9697,Normal
13323,Anormal
5527,Anormal
14023,Anormal
12900,Normal
9240,Anormal
12266,Anormal
8840,Anormal
12787,Normal
2659,Normal
7287,Normal
7458,Anormal
11128,Anormal
7040,Normal
13857,Anormal
15182,Normal
1625,Anormal
14550,Normal
2412,Normal
9668,Normal
16225,Normal
8463,Anormal
2821,Normal
3921,
7601,Normal
2216,Normal
2730,Normal
5146,Anormal
2695,Normal
15861,Anormal
5562,Normal
10457,
16390,Normal
1471,Normal
7769,Normal
6314,Anormal
3457,Normal
11182,Anormal
5593,Anormal
14306,Normal
14706,Normal
5369,Anormal
9913,Normal
6018,Anormal
5151,Anormal
11785,Anormal
17368,Normal
14955,Normal
364,Anormal
15615,Normal
13691,Anormal
6820,Normal
16642,Anormal
2061,
14059,Normal
5123,Anormal
7869,
8247,Normal
7212,Anormal
3213,Normal
15704,Normal
12244,Normal
7115,Normal
9068,
12552,Normal
13974,Anormal
17145,Anormal
17623,Anormal
14622,Normal
9222,Normal
15494,Normal
14255,Normal
16560,Normal
1490,
2116,Normal
15429,Anormal
8188,Normal
3670,Normal
12872,Normal
5171,
2803,Anormal
14594,Anormal
9037,Anormal
4084,Normal
4054,Normal
4428,Normal
13831,Normal
17529,
15862,Anormal
4610,Normal
11225,Normal
1301,Anormal
1561,
7314,Normal
5083,Normal
13554,Normal
8585,Anormal
365,Anormal
8871,Normal
9671,Normal
11418,
10634,
2142,Anormal
16287,Normal
5530,Anormal
625,Normal
6264,Normal
57,Anormal
5831,Normal
12499,Normal
16208,Anormal
5978,Anormal
14694,Normal
12966,Normal
8887,Anormal
10903,Anormal
3108,Anormal
5363,Normal
13905,
15086,Anormal
12014,Anormal
15116,
11022,Anormal
8443,Anormal
163,Normal
6253,
11232,Normal
16731,Normal
15256,Anormal
11716,Normal
235,Anormal
1592,Anormal
15320,Anormal
4351,Normal
9233,Anormal
10807,Normal
530,Anormal
11291,Anormal
7936,
1700,Anormal
2377,Normal
928,Normal
8426,Normal
15215,Anormal
9919,Anormal
2972,Normal
5633,Anormal
8105,Anormal
15140,Anormal
12039,Normal
17023,Normal
14160,Anormal
10292,Anormal
6534,Anormal
8661,Anormal
17141,Anormal
9805,Anormal
2970,Anormal
2445,Normal
5960,Normal
12440,Anormal
15627,Anormal
10683,Anormal
8383,Normal
17161,Normal
17713,Normal
7655,Anormal
6043,Normal
13690,Normal
7591,Normal
3028,Normal
1515,Normal
6699,Normal
17839,
7954,
11771,
4205,Normal
11384,Normal
4893,
15171,Anormal
16843,Normal
5819,Normal
8430,Anormal
11459,Normal
7742,
7016,Normal
14284,
6151,Normal
2909,Normal
12648,Normal
4491,Anormal
7310,Anormal
5566,Normal
11261,Anormal
2561,Anormal
5622,
13009,Anormal
4339,Anormal
6815,Anormal
10550,Normal
6113,Anormal
6389,Anormal
14282,Normal
15643,Normal
2910,Normal
116,Normal
15346,Anormal
14775,Normal
7483,Normal
10220,
4797,Anormal
3418,Normal
11849,Normal
2,Anormal
7761,Normal
15311,Anormal
17479,Anormal
12130,Normal
7966,Normal
1319,Normal
10829,Normal
13710,Normal
16464,Anormal
17722,Anormal
11395,Normal
6876,Normal
2668,Anormal
13001,Anormal
13601,Anormal
6423,Normal
16819,Anormal
14024,Normal
401,Normal
10806,Anormal
10181,Anormal
11803,Anormal
15538,Normal
1658,Normal
16739,Normal
17796,Anormal
17706,Anormal
10325,Normal
4952,Normal
13783,Normal
2918,Normal
7489,Normal
629,Anormal
430,Anormal
6414,Anormal
16040,Anormal
10072,Normal
10921,Anormal
4448,Normal
12400,Normal
3049,Normal
17816,Normal
1671,Anormal
7618,Anormal
5994,Anormal
16002,Anormal
12827,Normal
7345,Normal
17654,Normal
17802,Normal
10169,Anormal
8965,Normal
13822,Normal
4296,Normal
10709,Normal
5746,
13396,Normal
8681,Anormal
11167,Anormal
1244,Normal
7142,Normal
10302,Anormal
15481,Anormal
8899,Normal
2259,Anormal
9538,Anormal
10514,Normal
7157,Anormal
5877,Anormal
14581,Normal
13847,Normal
10616,Normal
17729,Normal
13624,Normal
240,Normal
12895,Normal
4419,Anormal
15360,Anormal
8862,Normal
11756,Anormal
15258,Anormal
15715,Normal
16556,Normal
15180,
3374,Anormal
15588,Normal
6985,Anormal
5524,Anormal
13898,Anormal
9534,Normal
3386,Anormal
4206,Anormal
17417,
9336,Anormal
7611,Anormal
16334,Anormal
9350,Normal
14066,Normal
2607,Normal
5521,
1591,Normal
6170,Anormal
10668,Normal
7849,Normal
6971,Anormal
1281,Anormal
10784,Normal
1620,Anormal
3415,Anormal
6934,Anormal
631,Anormal
17552,
12255,Anormal
12212,Normal
16594,Normal
1717,Anormal
12731,Normal
12671,Normal
13290,Anormal
1014,Anormal
12471,Normal
642,Normal
556,Anormal
6653,Anormal
10987,Anormal
13789,Anormal
10328,Anormal
2557,Anormal
1841,Normal
15739,Normal
14909,Normal
3772,Normal
1262,Normal
13738,Normal
1906,Anormal
14285,Normal
5590,Normal
13321,Normal
2407,Normal
1793,Anormal
3613,Normal
468,Anormal
6613,Normal
8851,Anormal
3488,Normal
7980,Normal
11201,Anormal
6480,Anormal
17421,Normal
13760,Anormal
10686,Anormal
4545,Anormal
7352,Normal
11966,Normal
6518,Normal
6061,Normal
1904,
7499,Anormal
2443,Normal
5400,Anormal
12177,Anormal
5110,Normal
16326,Anormal
15601,Anormal
5574,Anormal
11304,Normal
11362,Normal
727,Normal
12225,Normal
17116,
7694,Normal
11957,Normal
4871,
14812,
117,Anormal
1982,Normal
13732,Anormal
16623,Anormal
10166,Anormal
10543,Normal
3640,Normal
13991,Normal
690,Anormal
16966,Anormal
5459,Normal
12964,Anormal
2478,Normal
12625,Normal
7468,Anormal
600,Normal
17777,Anormal
2618,Normal
17062,Normal
13423,Normal
6390,Normal
12986,Normal
14464,Anormal
500,Normal
8138,Anormal
1622,Normal
8908,Anormal
15490,Normal
9990,
78,Normal
3355,
16213,Normal
12003,Anormal
10808,Normal
17016,Anormal
12415,Normal
2511,Anormal
11340,Normal
17822,Anormal
946,Anormal
16317,
828,Anormal
10414,Anormal
6608,Anormal
8356,Normal
2524,Anormal
10622,Anormal
9747,Normal
6522,Normal
2928,Anormal
11441,Anormal
12555,Normal
13790,Anormal
5130,Normal
1283,Normal
13765,Normal
15515,Anormal
17825,Anormal
3832,Anormal
13038,Normal
15783,Normal
11914,Normal
496,Normal
5696,Normal
11615,Anormal
7598,Normal
3422,Normal
8280,Normal
882,Normal
804,Normal
8669,Normal
1073,Anormal
2949,Normal
8826,Anormal
14026,Normal
16278,Normal
1604,Normal
12027,Normal
15259,Anormal
1641,Normal
14390,Normal
8468,Anormal
10182,Normal
16965,Normal
16393,Anormal
15267,Anormal
1559,Anormal
9417,Normal
2717,Normal
3708,Normal
807,Normal
4480,Normal
13634,Anormal
12719,Normal
11707,Normal
1406,Anormal
13063,Normal
1174,Anormal
343,
4,Anormal
10757,Anormal
11694,
4111,Anormal
16630,Normal
2144,
4189,Normal
13902,Normal
10673,Anormal
17762,Normal
6055,Anormal
9547,
8797,Anormal
16704,Normal
5658,Normal
586,Normal
7411,Anormal
9166,Anormal
17026,Anormal
1184,Normal
1882,Normal
12979,
15152,Anormal
3559,Normal
10337,Normal
1136,Normal
14332,Normal
17866,Anormal
14337,Normal
7114,Normal
14004,Anormal
9624,Anormal
5699,Anormal
12942,Anormal
12275,Normal
3519,Normal
1314,Normal
5653,Normal
13994,Anormal
16960,Anormal
15513,Normal
17596,Anormal
867,Normal
2277,Anormal
317,Anormal
8306,Normal
1082,Anormal
3079,
3275,Normal
10137,
1540,Normal
5331,Anormal
6770,Normal
12032,Normal
16101,Normal
9626,Normal
15102,Normal
9099,Normal
10844,Normal
8241,Normal
6869,Normal
11350,Normal
10551,
8581,Anormal
5896,
2633,Anormal
14623,Normal
931,Normal
10215,Anormal
7053,Normal
6089,Normal
2091,Normal
8182,Anormal
5536,Anormal
4085,Normal
7751,Normal
2734,Normal
2844,Normal
14735,
4785,Normal
2165,Anormal
6551,Normal
9953,Normal
10761,Anormal
6724,Normal
10103,
7858,Anormal
14029,Normal
9777,Anormal
766,Anormal
17039,Normal
4694,Normal
10048,Normal
9716,Normal
11267,Anormal
8422,Anormal
12407,Anormal
15350,Anormal
9301,Anormal
5964,Normal
1094,Normal
497,Normal
15232,Anormal
13194,Normal
381,Normal
12201,Normal
5591,Normal
14296,Normal
47,Anormal
13882,Normal
16723,Anormal
6223,Anormal
6860,Anormal
5989,Normal
1138,Normal
10205,Anormal
12123,Normal
2342,Normal
11928,Normal
12164,Anormal
11813,Normal
14099,Normal
2750,Normal
16513,
2348,Normal
17455,Anormal
17726,Anormal
3277,Anormal
16479,Normal
11666,Anormal
3043,Anormal
3555,Normal
13698,Normal
13356,Normal
1445,Normal
16784,
6447,Normal
305,Normal
5551,Normal
3612,Anormal
11316,Normal
6288,Normal
13071,Anormal
1846,Anormal
15955,Anormal
14381,Normal
8500,Normal
14893,Anormal
12814,Normal
14386,Anormal
1072,Anormal
15555,Normal
10997,Normal
4563,Normal
12357,Normal
5150,Normal
6844,Normal
10750,Normal
4966,Normal
14417,Normal
11423,Anormal
5927,
10759,Anormal
3698,Normal
12180,Normal
12437,Normal
17437,Anormal
7154,Anormal
9880,Normal
542,Normal
607,Normal
12421,Normal
10204,Normal
203,Normal
15109,
4203,Anormal
13573,Normal
1380,Normal
4687,Normal
8390,Anormal
9555,Normal
3063,Anormal
17037,Anormal
9079,Anormal
15337,Anormal
5791,Normal
11885,Normal
10587,Normal
13535,Anormal
12211,
4578,Normal
9896,Normal
7325,Normal
12761,Normal
15969,Anormal
17196,Normal
5252,Anormal
7074,Anormal
7107,Normal
12489,
4230,
4606,Normal
14922,Normal
16161,Anormal
16219,Anormal
3251,Anormal
5057,Normal
12128,Normal
3666,Normal
16958,Normal
5421,Normal
7496,
13437,Normal
13830,Normal
13915,Anormal
11868,Anormal
15287,Normal
1040,Normal
3349,Anormal
13726,Normal
4990,Normal
3047,Anormal
479,Anormal
677,Normal
10070,Normal
4357,Normal
17117,Normal
9345,Normal
9104,Normal
17207,Anormal
8671,Normal
17177,Normal
15403,Anormal
6515,Normal
17427,
6625,Anormal
1925,Normal
10154,Normal
13880,Normal
7004,Normal
10252,Normal
15689,Normal
8686,Normal
13055,
2461,Anormal
2516,Normal
8389,
211,Normal
10588,Normal
7684,Normal
783,Anormal
14001,Anormal
10693,Normal
14649,Normal
237,Normal
11754,Normal
12875,Anormal
4758,Normal
14584,Normal
14722,
24,Anormal
13263,Normal
11132,
8128,Normal
13923,Anormal
10778,Normal
7439,Normal
7075,Normal
8168,Anormal
9631,Anormal
15351,Normal
16404,Normal
4233,Anormal
8662,Anormal
7087,Normal
8183,Normal
14883,Anormal
8616,Normal
12179,
719,Anormal
3273,Normal
15914,Normal
9758,
3292,Anormal
8315,Anormal
4406,Anormal
11175,Anormal
17815,Normal
4432,Anormal
5370,Normal
9486,Anormal
12596,
182,Anormal
5304,Anormal
15966,Normal
14880,Anormal
2151,Anormal
4654,Anormal
11355,Anormal
4042,Anormal
2250,
17746,Normal
16446,Normal
4963,Normal
4636,Normal
6916,Anormal
5592,Anormal
13876,Normal
3503,Normal
16412,Anormal
4676,Normal
13159,Normal
6147,Normal
10145,Normal
14595,Anormal
10787,Normal
5837,Normal
12519,Normal
7288,
3544,
11831,Normal
2395,Normal
2759,Normal
15846,Anormal
2328,Normal
1735,Normal
8593,Normal
1246,Anormal
7488,Normal
5983,Anormal
13443,
3465,Normal
2035,Normal
15924,Anormal
11742,Normal
4971,Anormal
2977,Anormal
13703,
9997,Normal
2245,
1975,Normal
11072,
11548,Anormal
1446,Anormal
11796,Anormal
3334,Anormal
13960,Anormal
14137,Normal
8718,Anormal
17702,Anormal
1802,Normal
4318,
12188,Normal
11963,Anormal
6433,Normal
11067,Anormal
3635,Normal
12100,Normal
9192,Normal
1222,Anormal
6532,Normal
2270,Normal
2132,Anormal
15683,Normal
8849,
11473,Normal
5318,
291,Normal
3533,Normal
12235,Anormal
11546,Normal
2664,Normal
6500,Anormal
2848,Normal
14983,Anormal
15308,
686,Anormal
16522,Normal
2634,Anormal
3166,Anormal
13913,Normal
2850,Anormal
9557,Normal
2435,Normal
4343,Normal
3147,Normal
10972,Normal
9859,Anormal
10446,Normal
2058,Normal
15292,Anormal
9544,Normal
2066,
5267,
3659,
11490,Normal
15090,Anormal
6268,Normal
6300,Normal
7329,Anormal
8301,Normal
4586,
3225,Normal
10504,Anormal
16891,Normal
7492,Normal
353,Anormal
17828,Normal
14032,Normal
414,Anormal
12753,Anormal
4369,Normal
15401,Normal
10415,Normal
7354,Normal
463,Normal
13432,Normal
6673,Normal
15574,Anormal
13348,
258,Anormal
12726,Normal
15226,Anormal
17736,Normal
6461,Anormal
15535,Anormal
11242,Anormal
3276,Normal
14768,Normal
11843,Normal
1195,Normal
9061,Normal
15962,Anormal
5507,Anormal
3497,Normal
2996,Anormal
17534,Normal
1595,Anormal
4184,Normal
8273,Anormal
11303,Anormal
1687,Normal
2205,Anormal
8225,Normal
17157,Normal
16806,Normal
2609,
15828,Anormal
7964,Anormal
16535,Normal
8235,Normal
14533,Anormal
12639,Normal
3515,Anormal
4729,Normal
3272,Normal
3464,Normal
12588,Normal
159,Anormal
16563,Anormal
2233,Normal
9087,Normal
2636,Normal
15855,Anormal
15770,Anormal
6982,Anormal
9939,Normal
884,Normal
14810,Normal
2994,Anormal
2686,Anormal
2379,Normal
1836,Normal
13566,Normal
7084,Normal
5285,Anormal
7807,Anormal
7709,Anormal
16766,Anormal
11978,Normal
8043,Normal
15936,Normal
2691,Anormal
16333,Normal
7515,Anormal
4564,Normal
11981,Anormal
17698,Normal
15224,Anormal
7319,Normal
1459,Normal
11889,Anormal
15417,Normal
8930,Normal
15960,Normal
2417,Anormal
14522,Anormal
9952,Anormal
8750,Normal
4290,Anormal
14058,Anormal
1248,Normal
17144,Anormal
6939,Normal
238,Normal
11867,Anormal
16199,Normal
11210,Normal
16325,Anormal
3590,Normal
9331,
11077,Anormal
10768,Anormal
10482,Normal
10094,Normal
8938,Normal
12626,Anormal
10427,Normal
3627,Normal
9861,Anormal
7144,Normal
16065,Normal
8723,Normal
17594,Normal
6495,Normal
11408,Anormal
2484,Normal
5914,Normal
15986,Normal
9458,Normal
9154,Anormal
4149,Anormal
17753,Normal
56,Normal
6694,Normal
14683,Normal
386,Anormal
10832,Normal
10600,Normal
16878,Normal
6793,Normal
10671,Normal
15751,Normal
12972,Anormal
10448,Normal
13389,Anormal
11936,Anormal
14600,Normal
9925,Anormal
15927,Normal
3889,
9320,Anormal
1263,Normal
16088,
15725,Anormal
9967,Normal
12837,Normal
14162,Normal
6310,Normal
3844,Normal
177,Anormal
7364,Anormal
6618,Normal
11040,Normal
3431,Normal
13004,Anormal
6919,Anormal
14114,Normal
4605,Normal
4706,
1516,Normal
13191,
13347,Normal
6898,Anormal
11278,Anormal
4593,Normal
16935,Anormal
736,Normal
8793,Normal
17400,Normal
8562,Normal
16491,Anormal
15603,Normal
5015,Anormal
11881,Anormal
11043,Anormal
2097,Normal
8759,Normal
16809,Normal
6121,Normal
9685,Anormal
9525,Anormal
13626,Normal
2048,Normal
3195,Normal
8620,Normal
4734,Normal
199,Normal
15580,Anormal
13733,Normal
4449,Normal
3318,Anormal
7173,Normal
15662,Normal
9415,Normal
261,Normal
5508,Anormal
4504,Normal
13549,
6410,Normal
7721,Normal
9306,Normal
13339,Normal
7927,Anormal
1106,Normal
16567,Anormal
16001,
17162,
16601,Normal
4703,
1694,Normal
8788,Anormal
15255,Anormal
4850,Normal
8114,
150,Anormal
15103,Anormal
11060,Normal
12857,Anormal
1915,Normal
3582,Normal
1738,Anormal
17692,Anormal
1980,Anormal
17492,Normal
17619,Anormal
9833,Anormal
3649,Normal
9924,Normal
4739,Normal
10841,Normal
3223,Anormal
8903,Anormal
5546,Normal
16252,Normal
14669,Normal
6679,Normal
4731,Anormal
3378,Normal
3485,Normal
5395,Normal
15195,Anormal
4916,Normal
17661,Anormal
9250,Normal
4689,Normal
10669,Normal
15384,Normal
9501,Normal
8961,Normal
8487,Normal
6851,Anormal
10696,Normal
17395,Anormal
3150,Normal
14446,Normal
12835,Anormal
13575,Normal
14717,Normal
809,Normal
3040,Normal
16025,
2213,Normal
14899,Normal
2103,Anormal
5226,Normal
4382,Normal
4913,Normal
5050,Normal
3661,Normal
9421,Anormal
10597,Anormal
16335,
12674,Anormal
6479,Anormal
12091,Normal
14358,Anormal
16916,Normal
12829,Normal
15157,Normal
8917,Normal
14918,
10852,Normal
787,Normal
16852,Normal
16705,Normal
6484,Normal
3709,Anormal
14213,Anormal
7099,Normal
13034,
6893,Normal
2685,Normal
9761,Anormal
14538,Normal
4547,Normal
3824,Normal
12377,Normal
1884,Normal
55,Normal
17192,Normal
17689,Anormal
7428,Normal
2465,Anormal
11894,Anormal
1194,Normal
9807,Normal
11189,Normal
1038,Normal
2186,Normal
16845,Normal
13817,Anormal
63,Anormal
14858,Normal
3474,Anormal
6933,
1030,Anormal
3623,Anormal
8751,Anormal
10162,Anormal
8271,Normal
7478,Normal
7471,Normal
14245,Normal
8011,Anormal
8988,Normal
7282,Normal
2751,Normal
15737,Normal
16018,Anormal
2770,Normal
13655,
3768,Normal
11026,Anormal
8083,Normal
11535,Anormal
13614,Normal
15367,Anormal
13005,Normal
13910,Normal
6732,Anormal
4868,Normal
557,Anormal
15756,Normal
17592,Normal
190,Anormal
4691,Anormal
12697,Normal
12524,Normal
10653,
11587,Normal
8937,Anormal
510,Normal
14813,Normal
17126,Normal
12980,Normal
6626,Anormal
12126,Anormal
13094,Anormal
2148,Normal
1486,Normal
14276,Anormal
10139,Anormal
13287,Anormal
2954,
2630,Normal
4152,Anormal
11522,Normal
12297,Normal
14548,Normal
8958,
1454,Normal
6863,Anormal
10226,Normal
2780,Normal
1364,Normal
5866,Normal
17474,Normal
13706,Normal
16122,Normal
1711,Normal
5727,
7574,Anormal
17607,
5468,Anormal
4086,Normal
12460,Normal
12159,Normal
6975,Normal
12002,Anormal
3118,Normal
4402,Normal
1888,Normal
1528,
11178,Anormal
13166,Normal
2660,Anormal
2002,Normal
4073,
2714,Anormal
3836,Anormal
15819,Anormal
15879,Anormal
14171,Anormal
12784,Normal
4899,Normal
7614,Normal
5189,Normal
3529,Normal
6191,Anormal
14789,Normal
10183,
13406,Anormal
13764,Normal
8342,Anormal
10736,Normal
8756,Normal
14319,Anormal
5119,Normal
5230,Anormal
3407,Normal
15902,Normal
12927,Anormal
1768,Normal
8192,Normal
17320,Normal
8284,Normal
12067,Normal
11624,Normal
12570,Anormal
16304,Normal
8623,Anormal
5973,Normal
8387,Normal
4061,Anormal
5249,Anormal
11995,Anormal
3338,Normal
5329,Anormal
6715,Normal
9074,Normal
8760,Normal
7584,Normal
14075,Anormal
8513,Normal
16984,Normal
3728,Anormal
12782,Normal
2521,Anormal
4867,Normal
10675,
15469,Anormal
9750,Normal
11641,
14553,Normal
16233,
15648,Normal
11074,Anormal
9385,Anormal
16357,
9160,Normal
3657,Normal
4192,Normal
7901,
5447,Anormal
17555,Anormal
579,
13233,Anormal
1180,Anormal
10222,Normal
5260,Normal
14627,Anormal
6052,Normal
5974,Anormal
15237,Anormal
8728,Normal
11825,Normal
14230,Anormal
10743,Anormal
12738,Anormal
17659,Anormal
13224,Anormal
14885,Normal
4523,Normal
5174,Anormal
4920,
4641,
3071,Anormal
17232,Normal
9841,Normal
2100,Normal
5794,Anormal
3911,Normal
13805,
8089,Normal
15318,Anormal
13939,Normal
1192,Normal
6441,
11393,Normal
3470,Normal
9346,Normal
1404,Anormal
14305,Normal
9738,Anormal
13911,Anormal
10358,Normal
6588,Normal
2096,Normal
9659,Normal
13997,Normal
12728,Normal
129,Anormal
4843,Anormal
6664,Normal
9593,
2857,Normal
8367,
14795,Anormal
6467,Anormal
13767,
16147,Anormal
16306,Anormal
13607,Normal
13136,Anormal
11399,Anormal
13879,Anormal
10129,Normal
12902,
9210,Normal
11846,Anormal
4338,Normal
2676,Normal
13184,Normal
5594,Normal
13950,Anormal
872,Normal
15883,Anormal
6232,Normal
8934,Normal
2400,Normal
2581,Normal
7237,Normal
13744,Normal
4773,Anormal
3371,Anormal
17270,Normal
13152,Normal
14429,Normal
13126,Normal
7426,Normal
5761,Normal
4985,Anormal
1590,
16468,Normal
5315,Normal
10665,Anormal
8588,Anormal
13853,Anormal
10063,Anormal
8239,Anormal
992,Normal
9069,Anormal
8657,Anormal
4208,Anormal
423,Anormal
12977,Normal
14609,Anormal
10573,Anormal
14776,Normal
10567,Anormal
3592,Anormal
11493,Normal
11656,Anormal
3196,Anormal
13325,
637,Anormal
3924,Anormal
13393,Anormal
3481,Normal
1265,Anormal
8195,Normal
